population,drug,day,state,estimate,lower,upper
routine_culture_no_recorded_lmwh_shared,vancomycin,8.5,no_first_event,0.38290324652274,0.33190961835715,0.430395747899708
routine_culture_no_recorded_lmwh_shared,vancomycin,8.75,recovery,0.25879522782112,0.21528003630266,0.315141321309367
routine_culture_no_recorded_lmwh_shared,vancomycin,8.75,death,0.24469351863346,0.200652082270867,0.286264952405699
routine_culture_no_recorded_lmwh_shared,vancomycin,8.75,discharge,0.125192615067167,0.100569519205105,0.153483114294412
routine_culture_no_recorded_lmwh_shared,vancomycin,8.75,no_first_event,0.371318638478254,0.32081370208688,0.418017923744989
routine_culture_no_recorded_lmwh_shared,vancomycin,9,recovery,0.265088978764676,0.222209763712504,0.319881476060863
routine_culture_no_recorded_lmwh_shared,vancomycin,9,death,0.248924877870131,0.20326447471489,0.290171253273154
routine_culture_no_recorded_lmwh_shared,vancomycin,9,discharge,0.127533440163469,0.102780923332363,0.155765650295199
routine_culture_no_recorded_lmwh_shared,vancomycin,9,no_first_event,0.358452703201725,0.308878954821396,0.404478543536833
routine_culture_no_recorded_lmwh_shared,vancomycin,9.25,recovery,0.268483919649407,0.224831399640326,0.326714467899128
routine_culture_no_recorded_lmwh_shared,vancomycin,9.25,death,0.250321276262871,0.204339783215339,0.292728355488437
routine_culture_no_recorded_lmwh_shared,vancomycin,9.25,discharge,0.13200066739708,0.106474381273092,0.160695801579598
routine_culture_no_recorded_lmwh_shared,vancomycin,9.25,no_first_event,0.349194136690642,0.300025174925148,0.395169175054241
routine_culture_no_recorded_lmwh_shared,vancomycin,9.5,recovery,0.271789555647188,0.228855568461991,0.329845029766698
routine_culture_no_recorded_lmwh_shared,vancomycin,9.5,death,0.251865795021533,0.205513728243293,0.294928116351935
routine_culture_no_recorded_lmwh_shared,vancomycin,9.5,discharge,0.140081933913219,0.114007901486933,0.168293680466695
routine_culture_no_recorded_lmwh_shared,vancomycin,9.5,no_first_event,0.33626271541806,0.2884035130337,0.380681563744307
routine_culture_no_recorded_lmwh_shared,vancomycin,9.75,recovery,0.277615346503779,0.233956742824703,0.334800040176722
routine_culture_no_recorded_lmwh_shared,vancomycin,9.75,death,0.255472813910376,0.210279718430522,0.298056182148227
routine_culture_no_recorded_lmwh_shared,vancomycin,9.75,discharge,0.144595716521334,0.118859696357363,0.172863767822967
routine_culture_no_recorded_lmwh_shared,vancomycin,9.75,no_first_event,0.322316123064511,0.276018293053808,0.367201231018905
routine_culture_no_recorded_lmwh_shared,vancomycin,10,recovery,0.283604886487406,0.240670955390184,0.341521479526491
routine_culture_no_recorded_lmwh_shared,vancomycin,10,death,0.256146981463214,0.210607713435431,0.298641448187315
routine_culture_no_recorded_lmwh_shared,vancomycin,10,discharge,0.145706750761944,0.119712854231872,0.174068788245497
routine_culture_no_recorded_lmwh_shared,vancomycin,10,no_first_event,0.314541381287437,0.268006241537125,0.357701485272546
routine_culture_no_recorded_lmwh_shared,vancomycin,10.25,recovery,0.28543619828192,0.24229863656364,0.343189306098509
routine_culture_no_recorded_lmwh_shared,vancomycin,10.25,death,0.258749780436029,0.213243495026419,0.301963712646082
routine_culture_no_recorded_lmwh_shared,vancomycin,10.25,discharge,0.151018335446497,0.123528583898251,0.180806083425724
routine_culture_no_recorded_lmwh_shared,vancomycin,10.25,no_first_event,0.304795685835554,0.257997156575398,0.346778070212983
routine_culture_no_recorded_lmwh_shared,vancomycin,10.5,recovery,0.290408733563395,0.24710018348001,0.349129703915146
routine_culture_no_recorded_lmwh_shared,vancomycin,10.5,death,0.261455419976687,0.216315072685671,0.304621680240053
routine_culture_no_recorded_lmwh_shared,vancomycin,10.5,discharge,0.155453070275097,0.127510007190335,0.185765540844629
routine_culture_no_recorded_lmwh_shared,vancomycin,10.5,no_first_event,0.292682776184821,0.247266950298684,0.333430833172601
routine_culture_no_recorded_lmwh_shared,vancomycin,10.75,recovery,0.294401447924839,0.251222663218088,0.352207043657844
routine_culture_no_recorded_lmwh_shared,vancomycin,10.75,death,0.264688727719201,0.21772843860043,0.308056672693276
routine_culture_no_recorded_lmwh_shared,vancomycin,10.75,discharge,0.161400960616631,0.131722680191707,0.192450139028396
routine_culture_no_recorded_lmwh_shared,vancomycin,10.75,no_first_event,0.279508863739328,0.235523625044978,0.320921503016017
routine_culture_no_recorded_lmwh_shared,vancomycin,11,recovery,0.296900957261633,0.253307598562824,0.354833125618489
routine_culture_no_recorded_lmwh_shared,vancomycin,11,death,0.268626411772966,0.221550457336281,0.312087143903806
routine_culture_no_recorded_lmwh_shared,vancomycin,11,discharge,0.163194491318714,0.133280063626143,0.193987156259271
routine_culture_no_recorded_lmwh_shared,vancomycin,11,no_first_event,0.271278139646687,0.227755549233131,0.31181713151896
routine_culture_no_recorded_lmwh_shared,vancomycin,11.25,recovery,0.298001711361764,0.254931377785207,0.356103070847795
routine_culture_no_recorded_lmwh_shared,vancomycin,11.25,death,0.270385450766472,0.223068338990038,0.314258207754224
routine_culture_no_recorded_lmwh_shared,vancomycin,11.25,discharge,0.163981253190923,0.134054563722715,0.194483401920436
routine_culture_no_recorded_lmwh_shared,vancomycin,11.25,no_first_event,0.267631584680841,0.223623922997503,0.307757459513909
routine_culture_no_recorded_lmwh_shared,vancomycin,11.5,recovery,0.298747363033881,0.255174908299082,0.356894061193095
routine_culture_no_recorded_lmwh_shared,vancomycin,11.5,death,0.272428878623191,0.225692304296638,0.315949390492752
routine_culture_no_recorded_lmwh_shared,vancomycin,11.5,discharge,0.166717896918529,0.136498632836992,0.197494473111277
routine_culture_no_recorded_lmwh_shared,vancomycin,11.5,no_first_event,0.262105861424398,0.217808236503546,0.302201595624536
routine_culture_no_recorded_lmwh_shared,vancomycin,11.75,recovery,0.301729974256764,0.258524011781822,0.36010900459534
routine_culture_no_recorded_lmwh_shared,vancomycin,11.75,death,0.275918507045203,0.228573343760582,0.319913587713653
routine_culture_no_recorded_lmwh_shared,vancomycin,11.75,discharge,0.168552301476906,0.138473869541688,0.199029785317016
routine_culture_no_recorded_lmwh_shared,vancomycin,11.75,no_first_event,0.253799217221126,0.209030710233286,0.293624108183999
routine_culture_no_recorded_lmwh_shared,vancomycin,12,recovery,0.304219966966632,0.260821369929058,0.362634296031355
routine_culture_no_recorded_lmwh_shared,vancomycin,12,death,0.276185678235571,0.228618109129854,0.320070032248226
routine_culture_no_recorded_lmwh_shared,vancomycin,12,discharge,0.169187762149094,0.139180743387307,0.199829637018962
routine_culture_no_recorded_lmwh_shared,vancomycin,12,no_first_event,0.250406592648703,0.205078271437431,0.290349683059147
routine_culture_no_recorded_lmwh_shared,vancomycin,12.25,recovery,0.305009670785674,0.261623935479838,0.362759520350725
routine_culture_no_recorded_lmwh_shared,vancomycin,12.25,death,0.276845184286062,0.2291760389102,0.320850773626457
routine_culture_no_recorded_lmwh_shared,vancomycin,12.25,discharge,0.170270309787108,0.140333527644716,0.201220609872667
routine_culture_no_recorded_lmwh_shared,vancomycin,12.25,no_first_event,0.247874835141156,0.203137186279922,0.288929245931192
routine_culture_no_recorded_lmwh_shared,vancomycin,12.5,recovery,0.309251800350068,0.265870540665179,0.367382082439135
routine_culture_no_recorded_lmwh_shared,vancomycin,12.5,death,0.279057666602515,0.231325540290856,0.323849915078026
routine_culture_no_recorded_lmwh_shared,vancomycin,12.5,discharge,0.172545634819514,0.141959955082619,0.203804873423987
routine_culture_no_recorded_lmwh_shared,vancomycin,12.5,no_first_event,0.239144898227903,0.195924875166066,0.279342680318701
routine_culture_no_recorded_lmwh_shared,vancomycin,12.75,recovery,0.312640780685645,0.269490435561989,0.369553655659777
routine_culture_no_recorded_lmwh_shared,vancomycin,12.75,death,0.281779268794857,0.232892905524645,0.327689681216643
routine_culture_no_recorded_lmwh_shared,vancomycin,12.75,discharge,0.172913782987221,0.142134890685944,0.204136594584725
routine_culture_no_recorded_lmwh_shared,vancomycin,12.75,no_first_event,0.232666167532277,0.190314175815974,0.272516199035185
routine_culture_no_recorded_lmwh_shared,vancomycin,13,recovery,0.316275148708409,0.273913063784047,0.373614925876276
routine_culture_no_recorded_lmwh_shared,vancomycin,13,death,0.28269846778348,0.233884093116125,0.3279745511946
routine_culture_no_recorded_lmwh_shared,vancomycin,13,discharge,0.178487761958466,0.147301127106934,0.210108178434226
routine_culture_no_recorded_lmwh_shared,vancomycin,13,no_first_event,0.222538621549645,0.18070987307282,0.260429452430564
routine_culture_no_recorded_lmwh_shared,vancomycin,13.25,recovery,0.31679833941974,0.27421514246058,0.373815583355004
routine_culture_no_recorded_lmwh_shared,vancomycin,13.25,death,0.283657924569457,0.235001707485831,0.32906939613214
routine_culture_no_recorded_lmwh_shared,vancomycin,13.25,discharge,0.178649993591098,0.147786208073226,0.210442012307099
routine_culture_no_recorded_lmwh_shared,vancomycin,13.25,no_first_event,0.220893742419705,0.179247419348764,0.259238366297162
routine_culture_no_recorded_lmwh_shared,vancomycin,13.5,recovery,0.3181785820268,0.275572301150744,0.375592730596066
routine_culture_no_recorded_lmwh_shared,vancomycin,13.5,death,0.287257719062657,0.237863232439383,0.331656035062546
routine_culture_no_recorded_lmwh_shared,vancomycin,13.5,discharge,0.180803109781711,0.149844450676922,0.212417464307813
routine_culture_no_recorded_lmwh_shared,vancomycin,13.5,no_first_event,0.213760589128832,0.172996908095544,0.2511345616936
routine_culture_no_recorded_lmwh_shared,vancomycin,13.75,recovery,0.318792338583602,0.276823137446616,0.376088105687379
routine_culture_no_recorded_lmwh_shared,vancomycin,13.75,death,0.288088112234512,0.238921473546754,0.332453876925342
routine_culture_no_recorded_lmwh_shared,vancomycin,13.75,discharge,0.183243768667363,0.151253668237868,0.214801564429976
routine_culture_no_recorded_lmwh_shared,vancomycin,13.75,no_first_event,0.209875780514524,0.168997696329792,0.247958891694988
routine_culture_no_recorded_lmwh_shared,vancomycin,14,recovery,0.321322272848387,0.279286051840022,0.378577763830907
routine_culture_no_recorded_lmwh_shared,vancomycin,14,death,0.288088112234512,0.238921473546754,0.332453876925342
